,Time,Liquid Pressure [Pa] ,Liquid Saturation ,Temperature [C] ,Total Tracer_river [M] ,qlx [m/h] ,qly [m/h] ,qlz [m/h] ,northing,easting,elevation,cell_id
0,8641.0,112091.6,1.0,5.731406,1.000003,-0.0003712541,0.0003929806,-0.02239392,116300.0,594460.0,104.44,59154.0
1,8642.0,112588.6,1.0,5.72987,1.000003,-0.0004452987,0.0004962477,-0.02774218,116300.0,594460.0,104.44,59154.0
2,8643.0,112872.0,1.0,5.72781,1.000003,-0.0004539693,0.0005177657,-0.02883422,116300.0,594460.0,104.44,59154.0
3,8644.0,113102.8,1.0,5.725081,1.000003,-0.0004623385,0.0005372647,-0.02962807,116300.0,594460.0,104.44,59154.0
4,8645.0,113167.5,1.0,5.72181,1.000003,-0.0004414156,0.000509979,-0.02825018,116300.0,594460.0,104.44,59154.0
5,8646.0,113070.2,1.0,5.718132,1.000003,-0.000385257,0.0004312863,-0.02444747,116300.0,594460.0,104.44,59154.0
6,8647.0,112795.2,1.0,5.714844,1.000003,-0.0003171528,0.0003231031,-0.01931625,116300.0,594460.0,104.44,59154.0
7,8648.0,112440.7,1.0,5.71233,1.000003,-0.0002465611,0.0002233973,-0.01437722,116300.0,594460.0,104.44,59154.0
8,8649.0,111875.7,1.0,5.711136,1.000003,-0.0001238227,4.864778e-05,-0.005852018,116300.0,594460.0,104.44,59154.0
9,8650.0,111525.8,1.0,5.710956,1.000002,-7.196983e-05,-1.916353e-06,-0.002787774,116300.0,594460.0,104.44,59154.0
10,8651.0,110907.6,1.0,5.712964,1.000002,0.0001833178,-4.610393e-05,0.005138603,116300.0,594460.0,104.44,59154.0
11,8652.0,110377.1,1.0,5.716395,1.000002,0.0004739632,4.22011e-05,0.01009404,116300.0,594460.0,104.44,59154.0
0,8641.0,119420.4,1.0,5.741969,1.000002,0.0001132908,-0.0003031074,-0.004829649,116300.0,594470.0,103.674,54943.0
1,8642.0,119872.3,1.0,5.74194,1.000002,0.0001405299,-0.0003762718,-0.006000049,116300.0,594470.0,103.674,54943.0
2,8643.0,120145.8,1.0,5.741862,1.000003,0.0001462261,-0.0003915013,-0.006242676,116300.0,594470.0,103.674,54943.0
3,8644.0,120370.3,1.0,5.741738,1.000003,0.0001503502,-0.0004026797,-0.00642567,116300.0,594470.0,103.674,54943.0
4,8645.0,120446.0,1.0,5.741605,1.000003,0.0001434855,-0.0003841757,-0.006128575,116300.0,594470.0,103.674,54943.0
