# time X(m) Y(m) Z(m)
5.223000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.996857142999999724e+00
5.226000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.996326531000000237e+00
5.229000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.995795917999999780e+00
5.232000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.995285713999999544e+00
5.235000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.994755102000000058e+00
5.238000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.994234694000000196e+00
5.241000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.993704081999999822e+00
5.244000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.993183672999999878e+00
5.247000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.992663265000000017e+00
5.250000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.992132653000000531e+00
5.253000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991622448999999406e+00
5.256000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991091836999999920e+00
5.259000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.990561223999999463e+00
5.262000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.990051020000000115e+00
5.265000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.989530612000000254e+00
5.268000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.989010203999999504e+00
5.271000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.988489796000000531e+00
5.274000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.987959184000000157e+00
5.277000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.987448979999999921e+00
5.280000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.986918366999999463e+00
5.283000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.986397958999999602e+00
5.286000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.985877551000000629e+00
5.289000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.985357142999999880e+00
5.292000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.984836735000000019e+00
5.295000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.984316327000000157e+00
5.298000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.984163265000000287e+00
5.301000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.984010203999999611e+00
5.304000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983857142999999823e+00
5.307000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983704082000000035e+00
5.310000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983551020000000165e+00
5.313000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983408163000000002e+00
5.316000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983255102000000214e+00
5.319000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983102041000000426e+00
5.322000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.982948979999999750e+00
5.325000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.982795917999999880e+00
5.328000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.982642857000000092e+00
5.331000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.982489796000000304e+00
5.334000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.982836735000000239e+00
5.337000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983183673000000091e+00
5.340000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983530612000000026e+00
5.343000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.983877550999999961e+00
5.346000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.984234693999999521e+00
5.349000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.984581633000000345e+00
5.352000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.984918366999999684e+00
5.355000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.985275510000000132e+00
5.358000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.985622449000000067e+00
5.361000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.985959183999999489e+00
5.364000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.986316326999999937e+00
5.367000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.986663264999999789e+00
5.370000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.986938776000000573e+00
5.373000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.987214286000000385e+00
5.376000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.987489796000000197e+00
5.379000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.987765306000000010e+00
5.382000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.988040815999999822e+00
5.385000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.988316326999999717e+00
5.388000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.988581632999999904e+00
