time,true_flux(m/d)
4/2/2017 6:54,0.371027261
4/2/2017 6:59,0.389572256
4/2/2017 7:04,0.408115325
4/2/2017 7:09,0.426669206
4/2/2017 7:14,0.445211745
4/2/2017 7:19,0.463753975
4/2/2017 7:24,0.482306968
4/2/2017 7:29,0.500848581
4/2/2017 7:34,0.519389885
4/2/2017 7:39,0.537941927
4/2/2017 7:44,0.55648254
4/2/2017 7:49,0.57502282
4/2/2017 7:54,0.593573813
4/2/2017 7:59,0.572629972
4/2/2017 8:04,0.551699054
4/2/2017 8:09,0.53075752
4/2/2017 8:14,0.509827478
4/2/2017 8:19,0.48888676
4/2/2017 8:24,0.467957495
4/2/2017 8:29,0.447017505
4/2/2017 8:34,0.426088919
4/2/2017 8:39,0.405160655
4/2/2017 8:44,0.384221615
4/2/2017 8:49,0.36329393
4/2/2017 8:54,0.342355421
4/2/2017 8:59,0.351677993
4/2/2017 9:04,0.360999578
4/2/2017 9:09,0.370321225
4/2/2017 9:14,0.379642871
4/2/2017 9:19,0.388953483
4/2/2017 9:24,0.398275192
4/2/2017 9:29,0.407596925
4/2/2017 9:34,0.416918707
4/2/2017 9:39,0.426240514
4/2/2017 9:44,0.435562371
4/2/2017 9:49,0.444873193
4/2/2017 9:54,0.454195173
4/2/2017 9:59,0.447631525
4/2/2017 10:04,0.441079616
4/2/2017 10:09,0.434516746
4/2/2017 10:14,0.427953937
4/2/2017 10:19,0.421391216
4/2/2017 10:24,0.414828555
4/2/2017 10:29,0.408265957
4/2/2017 10:34,0.40171448
4/2/2017 10:39,0.395151955
4/2/2017 10:44,0.388589456
4/2/2017 10:49,0.382027018
4/2/2017 10:54,0.375464555
4/2/2017 10:59,0.370895501
4/2/2017 11:04,0.36631535
4/2/2017 11:09,0.361746284
4/2/2017 11:14,0.357177254
4/2/2017 11:19,0.352597104
4/2/2017 11:24,0.348028099
4/2/2017 11:29,0.343447949
4/2/2017 11:34,0.338878858
4/2/2017 11:39,0.334298707
4/2/2017 11:44,0.329729616
4/2/2017 11:49,0.325160451
4/2/2017 11:54,0.320580202
4/2/2017 11:59,0.321492512
4/2/2017 12:04,0.322393491
4/2/2017 12:09,0.323305566
4/2/2017 12:14,0.324206669
4/2/2017 12:19,0.32511888
4/2/2017 12:24,0.326020057
4/2/2017 12:29,0.326932354
4/2/2017 12:34,0.327833605
4/2/2017 12:39,0.328745977
4/2/2017 12:44,0.329647326
4/2/2017 12:49,0.330548713
4/2/2017 12:54,0.33146122
4/2/2017 12:59,0.343960375
4/2/2017 13:04,0.356459715
4/2/2017 13:09,0.368970558
4/2/2017 13:14,0.381470762
4/2/2017 13:19,0.39397141
4/2/2017 13:24,0.406472565
4/2/2017 13:29,0.418985309
4/2/2017 13:34,0.4314875
4/2/2017 13:39,0.443990283
4/2/2017 13:44,0.456493647
4/2/2017 13:49,0.469008761
4/2/2017 13:54,0.481513396
4/2/2017 13:59,0.479084519
4/2/2017 14:04,0.476644904
4/2/2017 14:09,0.474216287
4/2/2017 14:14,0.471776474
4/2/2017 14:19,0.469347684
4/2/2017 14:24,0.466918795
4/2/2017 14:29,0.46447871
4/2/2017 14:34,0.462049661
4/2/2017 14:39,0.459620525
4/2/2017 14:44,0.457180243
