time,true_flux(m/d)
4/2/2017 1:34,0.603804832
4/2/2017 1:39,0.607617679
4/2/2017 1:44,0.611452757
4/2/2017 1:49,0.615268328
4/2/2017 1:54,0.619082821
4/2/2017 1:59,0.622919369
4/2/2017 2:04,0.623520893
4/2/2017 2:09,0.624121414
4/2/2017 2:14,0.624741867
4/2/2017 2:19,0.625341958
4/2/2017 2:24,0.625940944
4/2/2017 2:29,0.626559918
4/2/2017 2:34,0.627158301
4/2/2017 2:39,0.627755498
4/2/2017 2:44,0.628372794
4/2/2017 2:49,0.628968509
4/2/2017 2:54,0.629563059
4/2/2017 2:59,0.630177853
4/2/2017 3:04,0.623778006
4/2/2017 3:09,0.617377261
4/2/2017 3:14,0.610993984
4/2/2017 3:19,0.604580822
4/2/2017 3:24,0.598166857
4/2/2017 3:29,0.591770526
4/2/2017 3:34,0.585367884
4/2/2017 3:39,0.578964475
4/2/2017 3:44,0.572578843
4/2/2017 3:49,0.566174008
4/2/2017 3:54,0.559768603
4/2/2017 3:59,0.553381213
4/2/2017 4:04,0.544404741
4/2/2017 4:09,0.535427977
4/2/2017 4:14,0.526464718
4/2/2017 4:19,0.517486558
4/2/2017 4:24,0.508508323
4/2/2017 4:29,0.499543822
4/2/2017 4:34,0.490578037
4/2/2017 4:39,0.481612188
4/2/2017 4:44,0.472660136
4/2/2017 4:49,0.463681898
4/2/2017 4:54,0.454703795
4/2/2017 4:59,0.445739666
4/2/2017 5:04,0.452406706
4/2/2017 5:09,0.459072831
4/2/2017 5:14,0.465751923
4/2/2017 5:19,0.472415885
4/2/2017 5:24,0.479078909
4/2/2017 5:29,0.485754972
4/2/2017 5:34,0.492427256
4/2/2017 5:39,0.499098572
4/2/2017 5:44,0.505782973
4/2/2017 5:49,0.512441924
4/2/2017 5:54,0.519099774
4/2/2017 5:59,0.525770627
4/2/2017 6:04,0.538622878
4/2/2017 6:09,0.551473524
4/2/2017 6:14,0.564335855
4/2/2017 6:19,0.577193705
4/2/2017 6:24,0.590049853
4/2/2017 6:29,0.602917703
4/2/2017 6:34,0.615757535
4/2/2017 6:39,0.628595673
4/2/2017 6:44,0.641445554
4/2/2017 6:49,0.654289655
4/2/2017 6:54,0.667132117
4/2/2017 6:59,0.679986478
4/2/2017 7:04,0.651318208
4/2/2017 7:09,0.622653316
4/2/2017 7:14,0.593997571
4/2/2017 7:19,0.565337302
4/2/2017 7:24,0.536680029
4/2/2017 7:29,0.508031467
4/2/2017 7:34,0.479365809
4/2/2017 7:39,0.450702669
4/2/2017 7:44,0.422047704
4/2/2017 7:49,0.393398461
4/2/2017 7:54,0.364751108
4/2/2017 7:59,0.336111317
4/2/2017 8:04,0.352882255
4/2/2017 8:09,0.369652511
4/2/2017 8:14,0.386427976
4/2/2017 8:19,0.403193484
4/2/2017 8:24,0.419958433
4/2/2017 8:29,0.436728726
4/2/2017 8:34,0.453490533
4/2/2017 8:39,0.470251859
4/2/2017 8:44,0.487018651
4/2/2017 8:49,0.503776314
4/2/2017 8:54,0.520533671
4/2/2017 8:59,0.537296705
4/2/2017 9:04,0.518325421
4/2/2017 9:09,0.499355046
4/2/2017 9:14,0.480387166
4/2/2017 9:19,0.461416714
4/2/2017 9:24,0.442446831
4/2/2017 9:29,0.423479066
4/2/2017 9:34,0.40451635
4/2/2017 9:39,0.385553818
4/2/2017 9:44,0.36659297
4/2/2017 9:49,0.347618001
4/2/2017 9:54,0.328642704
4/2/2017 9:59,0.309668643
4/2/2017 10:04,0.31807093
4/2/2017 10:09,0.326473453
4/2/2017 10:14,0.334877909
4/2/2017 10:19,0.343283834
4/2/2017 10:24,0.351690014
4/2/2017 10:29,0.360098202
4/2/2017 10:34,0.368499605
4/2/2017 10:39,0.376901279
4/2/2017 10:44,0.385305043
4/2/2017 10:49,0.39372301
4/2/2017 10:54,0.402141362
4/2/2017 10:59,0.41056186
4/2/2017 11:04,0.404591688
4/2/2017 11:09,0.398621279
4/2/2017 11:14,0.392649644
4/2/2017 11:19,0.386674568
4/2/2017 11:24,0.380698927
4/2/2017 11:29,0.374721903
4/2/2017 11:34,0.368767777
4/2/2017 11:39,0.362813007
4/2/2017 11:44,0.356856785
4/2/2017 11:49,0.350911191
4/2/2017 11:54,0.344964933
4/2/2017 11:59,0.339017242
4/2/2017 12:04,0.334807117
4/2/2017 12:09,0.330596797
4/2/2017 12:14,0.326385235
4/2/2017 12:19,0.322147042
4/2/2017 12:24,0.317908074
4/2/2017 12:29,0.313667253
4/2/2017 12:34,0.309444252
4/2/2017 12:39,0.305220213
4/2/2017 12:44,0.300994324
4/2/2017 12:49,0.296804401
4/2/2017 12:54,0.292613532
4/2/2017 12:59,0.288420985
4/2/2017 13:04,0.289224072
4/2/2017 13:09,0.290027148
4/2/2017 13:14,0.290828457
4/2/2017 13:19,0.291627144
4/2/2017 13:24,0.292425745
4/2/2017 13:29,0.293222552
4/2/2017 13:34,0.294032423
4/2/2017 13:39,0.294842167
4/2/2017 13:44,0.295650144
4/2/2017 13:49,0.296481757
4/2/2017 13:54,0.297313203
4/2/2017 13:59,0.29814287
4/2/2017 14:04,0.309437707
4/2/2017 14:09,0.320734214
4/2/2017 14:14,0.332029883
4/2/2017 14:19,0.343343305
4/2/2017 14:24,0.354658343
4/2/2017 14:29,0.365972584
4/2/2017 14:34,0.377321067
4/2/2017 14:39,0.388670692
4/2/2017 14:44,0.40001908
4/2/2017 14:49,0.411339125
4/2/2017 14:54,0.422661203
4/2/2017 14:59,0.433982742
4/2/2017 15:04,0.431779938
4/2/2017 15:09,0.429576076
4/2/2017 15:14,0.427369615
4/2/2017 15:19,0.425143256
4/2/2017 15:24,0.422916667
4/2/2017 15:29,0.420688064
4/2/2017 15:34,0.418432927
4/2/2017 15:39,0.416177753
4/2/2017 15:44,0.41392074
4/2/2017 15:49,0.411670588
4/2/2017 15:54,0.409420324
4/2/2017 15:59,0.407168192
4/2/2017 16:04,0.401057318
4/2/2017 16:09,0.394945539
4/2/2017 16:14,0.388831977
4/2/2017 16:19,0.382747306
4/2/2017 16:24,0.376661039
4/2/2017 16:29,0.370572546
4/2/2017 16:34,0.364504414
4/2/2017 16:39,0.358434921
4/2/2017 16:44,0.352363334
4/2/2017 16:49,0.346300685
